iter	Passed	Remaining
0	57	57364
1	57	28794
2	57	19255
3	58	14475
4	58	11610
5	58	9705
6	58	8357
7	59	7336
8	59	6535
9	59	5893
10	59	5371
11	59	4933
12	60	4564
13	60	4248
14	60	3975
15	60	3734
16	60	3525
17	61	3336
18	61	3168
19	61	3015
20	61	2877
21	61	2752
22	62	2638
23	62	2533
24	62	2436
25	62	2347
26	62	2265
27	63	2189
28	63	2118
29	63	2051
30	63	1989
31	63	1933
32	64	1878
33	64	1826
34	64	1777
35	64	1731
36	64	1687
37	65	1645
38	65	1606
39	65	1568
40	65	1533
41	65	1499
42	66	1469
43	66	1438
44	66	1408
45	66	1380
46	66	1353
47	66	1328
48	67	1303
49	67	1280
50	67	1257
51	67	1236
52	68	1215
53	68	1194
54	68	1175
55	68	1155
56	68	1137
57	68	1120
58	69	1102
59	69	1086
60	69	1070
61	69	1055
62	69	1040
63	70	1026
64	70	1012
65	70	998
66	70	985
67	70	972
68	71	959
69	71	947
70	71	935
71	71	923
72	71	912
73	72	902
74	72	891
75	72	880
76	72	870
77	72	861
78	73	851
79	73	842
80	73	833
81	73	824
82	73	814
83	73	805
84	74	797
85	74	789
86	74	781
87	74	773
88	74	766
89	75	758
90	75	751
91	75	744
92	75	737
93	75	730
94	75	723
95	76	716
96	76	710
97	76	703
98	76	697
99	76	691
100	77	685
101	77	679
102	77	673
103	77	668
104	77	662
105	77	657
106	78	652
107	78	647
108	78	642
109	78	637
110	78	632
111	79	627
112	79	623
113	79	618
114	79	613
115	79	609
116	80	604
117	80	599
118	80	595
119	80	592
120	80	587
121	81	583
122	81	579
123	81	576
124	81	572
125	82	568
126	82	564
127	82	560
128	82	557
129	82	553
130	82	549
131	83	546
132	83	542
133	83	539
134	83	535
135	83	532
136	83	528
137	84	525
138	84	522
139	84	519
140	84	516
141	84	512
142	85	509
143	85	506
144	85	503
145	85	500
146	85	497
147	85	494
148	86	492
149	86	489
150	86	487
151	86	484
152	86	481
153	87	478
154	87	476
155	87	473
156	87	471
157	87	468
158	88	466
159	88	463
160	88	460
161	88	458
162	88	456
163	89	454
164	89	452
165	89	450
166	89	448
167	90	445
168	90	443
169	90	441
170	90	439
171	90	436
172	90	434
173	91	432
174	91	430
175	91	428
176	91	426
177	91	424
178	92	422
179	92	420
180	92	418
181	92	416
182	92	414
183	92	412
184	93	410
185	93	408
186	93	406
187	93	404
188	93	403
189	94	401
190	94	399
191	94	397
192	94	395
193	94	394
194	95	392
195	95	390
196	95	388
197	95	387
198	95	385
199	95	383
200	96	382
201	96	380
202	96	378
203	96	377
204	96	375
205	97	374
206	97	372
207	97	371
208	97	369
209	97	367
210	98	366
211	98	365
212	98	363
213	98	362
214	98	360
215	99	359
216	99	358
217	99	356
218	99	355
219	99	354
220	100	352
221	100	351
222	100	350
223	100	348
224	100	347
225	101	346
226	101	344
227	101	343
228	101	342
229	101	340
230	102	339
231	102	338
232	102	337
233	102	335
234	102	334
235	102	333
236	103	332
237	103	330
238	103	329
239	103	328
240	103	327
241	104	325
242	104	324
243	104	323
244	104	322
245	104	321
246	104	319
247	105	318
248	105	317
249	105	316
250	105	315
251	105	314
252	106	313
253	106	312
254	106	311
255	106	310
256	106	308
257	107	307
258	107	306
259	107	305
260	107	304
261	107	303
262	107	302
263	108	301
264	108	300
265	108	299
266	108	298
267	108	297
268	109	296
269	109	295
270	109	294
271	109	293
272	109	292
273	110	291
274	110	290
275	110	289
276	110	288
277	110	287
278	111	286
279	111	285
280	111	285
281	111	284
282	111	283
283	111	282
284	112	281
285	112	280
286	112	279
287	112	278
288	113	278
289	113	277
290	113	276
291	113	275
292	113	274
293	114	273
294	114	273
295	114	272
296	114	271
297	114	270
298	114	269
299	115	268
300	115	267
301	115	267
302	115	266
303	115	265
304	116	264
305	116	263
306	116	263
307	116	262
308	116	261
309	117	260
310	117	260
311	118	260
312	118	259
313	118	258
314	118	257
315	118	256
316	118	256
317	119	255
318	119	254
319	119	253
320	119	253
321	119	252
322	120	251
323	120	250
324	120	250
325	120	249
326	120	248
327	120	247
328	121	247
329	121	246
330	121	245
331	121	244
332	121	244
333	122	243
334	122	242
335	123	243
336	123	242
337	123	242
338	123	241
339	123	240
340	124	240
341	124	239
342	124	238
343	125	238
344	125	237
345	125	237
346	125	236
347	125	236
348	126	235
349	126	234
350	126	234
351	127	234
352	127	234
353	127	233
354	128	232
355	128	232
356	128	231
357	128	231
358	129	230
359	129	229
360	129	229
361	129	228
362	129	227
363	130	227
364	130	226
365	130	225
366	130	225
367	130	224
368	131	224
369	131	223
370	131	222
371	131	222
372	131	221
373	132	221
374	132	220
375	132	220
376	132	219
377	133	218
378	133	218
379	133	217
380	133	217
381	133	216
382	133	215
383	134	215
384	134	214
385	134	213
386	134	213
387	134	212
388	135	212
389	135	211
390	135	210
391	135	210
392	135	209
393	136	209
394	136	208
395	136	208
396	136	207
397	137	207
398	137	206
399	137	206
400	137	205
401	138	205
402	138	204
403	138	204
404	138	203
405	138	203
406	139	202
407	139	201
408	139	201
409	139	200
410	139	200
411	139	199
412	140	199
413	140	198
414	140	198
415	140	197
416	140	196
417	141	196
418	141	195
419	141	195
420	141	194
421	141	194
422	141	193
423	142	193
424	142	192
425	142	192
426	142	191
427	142	190
428	143	190
429	143	189
430	143	189
431	143	188
432	143	188
433	143	187
434	144	187
435	145	187
436	145	187
437	145	186
438	145	186
439	146	185
440	146	185
441	146	184
442	146	184
443	146	183
444	147	183
445	147	182
446	147	182
447	147	181
448	147	181
449	147	180
450	148	180
451	148	179
452	148	179
453	148	178
454	148	178
455	149	177
456	149	177
457	149	176
458	149	176
459	149	175
460	150	175
461	150	175
462	150	174
463	150	174
464	150	173
465	151	173
466	151	172
467	151	172
468	151	171
469	151	171
470	152	170
471	152	170
472	152	169
473	152	169
474	152	168
475	152	168
476	153	167
477	153	167
478	153	167
479	153	166
480	153	166
481	154	165
482	154	165
483	154	164
484	154	164
485	154	163
486	155	163
487	155	162
488	155	162
489	155	162
490	155	161
491	156	161
492	156	160
493	156	160
494	156	159
495	156	159
496	156	158
497	157	158
498	157	157
499	157	157
500	157	157
501	158	156
502	158	156
503	158	155
504	158	155
505	158	155
506	159	154
507	159	154
508	159	153
509	159	153
510	159	152
511	160	152
512	160	152
513	160	151
514	160	151
515	160	150
516	161	150
517	161	150
518	161	149
519	161	149
520	161	148
521	161	148
522	162	147
523	162	147
524	162	147
525	162	146
526	162	146
527	163	145
528	163	145
529	163	144
530	163	144
531	163	144
532	164	143
533	164	143
534	164	143
535	164	142
536	164	142
537	165	141
538	165	141
539	165	141
540	165	140
541	165	140
542	166	139
543	166	139
544	166	138
545	166	138
546	166	138
547	166	137
548	167	137
549	167	136
550	167	136
551	167	136
552	167	135
553	168	135
554	168	134
555	168	134
556	168	134
557	168	133
558	169	133
559	169	133
560	169	132
561	169	132
562	169	131
563	170	131
564	170	131
565	170	130
566	170	130
567	170	129
568	171	129
569	171	129
570	171	128
571	171	128
572	171	128
573	171	127
574	172	127
575	172	126
576	172	126
577	172	126
578	172	125
579	173	125
580	173	124
581	173	124
582	173	124
583	173	123
584	174	123
585	174	123
586	174	122
587	174	122
588	175	122
589	175	121
590	175	121
591	175	121
592	175	120
593	176	120
594	176	119
595	176	119
596	176	119
597	177	119
598	177	118
599	177	118
600	177	117
601	177	117
602	178	117
603	178	116
604	178	116
605	178	116
606	178	115
607	178	115
608	179	115
609	179	114
610	179	114
611	179	113
612	179	113
613	180	113
614	180	112
615	180	112
616	180	112
617	180	111
618	180	111
619	181	111
620	181	110
621	181	110
622	181	109
623	181	109
624	182	109
625	182	108
626	182	108
627	182	108
628	182	107
629	183	107
630	183	107
631	183	106
632	183	106
633	183	106
634	184	105
635	184	105
636	184	105
637	184	104
638	184	104
639	185	104
640	185	103
641	185	103
642	185	103
643	185	102
644	186	102
645	186	102
646	186	101
647	186	101
648	186	101
649	187	100
650	187	100
651	187	100
652	187	99
653	188	99
654	188	99
655	188	98
656	188	98
657	188	98
658	188	97
659	189	97
660	189	97
661	189	96
662	189	96
663	190	96
664	190	95
665	190	95
666	190	95
667	190	94
668	190	94
669	191	94
670	191	93
671	191	93
672	191	93
673	191	92
674	192	92
675	192	92
676	192	91
677	192	91
678	192	91
679	193	90
680	193	90
681	193	90
682	193	89
683	193	89
684	194	89
685	194	88
686	194	88
687	194	88
688	194	87
689	195	87
690	195	87
691	195	87
692	195	86
693	195	86
694	196	86
695	196	85
696	196	85
697	196	85
698	197	84
699	197	84
700	197	84
701	197	83
702	197	83
703	198	83
704	198	82
705	198	82
706	198	82
707	198	82
708	199	81
709	199	81
710	199	81
711	199	80
712	199	80
713	200	80
714	200	79
715	200	79
716	200	79
717	200	78
718	201	78
719	201	78
720	201	78
721	201	77
722	201	77
723	202	77
724	202	76
725	202	76
726	202	76
727	202	75
728	203	75
729	203	75
730	203	74
731	203	74
732	203	74
733	204	74
734	204	73
735	204	73
736	204	73
737	205	72
738	205	72
739	205	72
740	205	71
741	206	71
742	206	71
743	206	71
744	206	70
745	206	70
746	206	70
747	207	69
748	207	69
749	207	69
750	207	68
751	208	68
752	208	68
753	208	67
